Date;AAPL;MSFT;GOOG
2023-10-03;170.7277222;308.7373657;132.3939819
2023-10-04;171.9755096;314.2246399;135.3438263
2023-10-05;173.2133789;314.6186829;135.0657196
2023-10-06;175.7683716;322.4014282;137.7870789
2023-10-09;177.2538147;324.9234314;138.5518494
2023-10-10;176.6596375;323.5146484;138.253891
2023-10-11;178.0559387;327.4848328;140.7368774
2023-10-12;178.9571381;326.2435303;139.3364868
2023-10-13;177.1151733;322.8644714;137.6381073
2023-10-16;176.9864502;327.7015686;139.535141
2023-10-17;175.4316406;327.1301575;140.0317383
2023-10-18;174.1343536;325.2091064;138.3333588
2023-10-19;173.7580719;326.401123;138.0353851
2023-10-20;171.2031097;321.8202209;135.8106384
2023-10-23;171.3219147;324.4308472;136.9627228
2023-10-24;171.7576447;325.6228943;139.1676331
2023-10-25;169.4403381;335.6123657;125.8090515
2023-10-26;165.2711792;323.0221252;122.6009979
2023-10-27;166.5882874;324.9135742;122.5612717
2023-10-30;168.6381836;332.3022461;124.8953094
2023-10-31;169.1135559;333.090332;124.4483719
2023-11-01;172.2825012;340.9322205;126.7029343
2023-11-02;175.8475952;343.1488037;127.7060852
2023-11-03;174.9364929;347.5622559;129.4838867
2023-11-06;177.4914551;351.2368774;130.5565491
2023-11-07;180.0563812;355.1775513;131.5001221
2023-11-08;181.1160126;357.8078308;132.3542633
2023-11-09;180.640625;355.335083;130.7949219
2023-11-10;184.8351288;364.1817932;133.1488342
2023-11-13;183.2485352;361.2361755;132.7316742
2023-11-14;185.866394;364.7728271;134.5095215
2023-11-15;186.4316101;364.9209595;135.4530792
2023-11-16;188.1173401;371.3374634;137.7572937
2023-11-17;188.0975037;365.0986633;136.0092468
2023-11-20;189.8427277;372.5911865;136.9825897
2023-11-21;189.0395203;368.2773132;137.6778412
2023-11-22;189.7039032;372.9958801;139.0683441
2023-11-24;188.3751678;372.5812683;137.2805481
2023-11-27;188.1966553;373.7460938;137.1117096
2023-11-28;188.8015289;377.7836304;137.6778412
2023-11-29;187.7801819;373.9830627;135.4729156
2023-11-30;188.3553314;374.0422668;133.0097656
2023-12-01;189.634491;369.698822;132.4138641
2023-12-04;187.8396912;364.3977966;129.742157
2023-12-05;191.7961731;367.734314;131.4901733
2023-12-06;190.7054443;364.0621338;130.5366974
2023-12-07;192.6390533;366.1845703;137.5090027
2023-12-08;194.0669708;369.4223633;135.7112732
2023-12-11;191.558197;366.5300293;133.7844849
2023-12-12;193.0753784;369.5704346;132.7316742
2023-12-13;196.2980652;369.5605774;133.059433
2023-12-14;196.4468079;361.2290039;132.2946777
2023-12-15;195.9113312;365.9673462;132.9303131
2023-12-18;194.2454376;367.8627014;136.2575531
2023-12-19;195.2866669;368.4648438;137.161377
2023-12-20;193.1943665;365.8587341;138.7107544
2023-12-21;193.0455933;368.7412415;140.8362427
2023-12-22;191.9746857;369.7678528;141.7499847
2023-12-26;191.429306;369.8468628;141.8493042
2023-12-27;191.5284576;369.2644653;140.4786835
2023-12-28;191.9548492;370.4588928;140.3197479
2023-12-29;190.9136505;371.2091675;139.9721069
2024-01-02;184.0815125;366.1055298;138.6114502
2024-01-03;182.7031708;365.8390198;139.4060059
2024-01-04;180.3828278;363.2131958;137.1017761
2024-01-05;179.6589355;363.0256042;136.4562073
2024-01-08;184.002182;369.8764648;139.5748749
2024-01-09;183.5857086;370.9623413;141.5910339
2024-01-10;184.6268768;377.8526611;142.8226318
2024-01-11;184.0319214;379.6887512;142.6935272
2024-01-12;184.3591461;383.4794312;143.2596436
2024-01-16;182.0883636;385.2563477;143.1007385
2024-01-17;181.146347;384.4666138;141.918808
2024-01-18;187.046402;388.8100281;144.0045319
2024-01-19;189.9517975;393.5484314;146.9642792
2024-01-22;192.2622223;391.4161377;146.7060547
2024-01-23;193.5413971;393.7754211;147.6694489
2024-01-24;192.8670959;397.3884277;149.328125
2024-01-25;192.5399017;399.6687317;152.5957489
2024-01-26;190.8045654;398.7408447;152.744751
2024-01-29;190.1203766;404.4564819;153.7875977
2024-01-30;186.4613495;403.3409729;152.0097656
2024-01-31;182.8519135;392.4723816;140.8362427
2024-02-01;185.291275;398.592804;141.740036
2024-02-02;184.2897339;405.9371948;142.5643768
2024-02-05;186.1043701;400.4387512;143.9449615
2024-02-06;187.7107697;400.2807922;144.4216766
2024-02-07;187.81987;408.730835;145.6830292
2024-02-08;186.7390289;408.7900085;146.2193909
2024-02-09;187.5035248;415.1473083;149.1989899
2024-02-12;185.8156281;409.9253235;147.7191315
2024-02-13;183.7206726;401.1000977;145.3751678
2024-02-14;182.8370056;404.9769592;146.1399231
2024-02-15;182.5491028;402.0791931;142.9617004
2024-02-16;181.0101318;399.606781;140.7964935
2024-02-20;180.2654877;398.350769;141.2334747
2024-02-21;181.0200653;397.7474976;142.8623505
2024-02-22;183.0554504;407.1130981;144.3323059
2024-02-23;181.2186432;405.8175354;144.3025055
2024-02-26;179.8683472;403.0484619;137.8069458
2024-02-27;181.3278656;402.9891052;139.1478119
2024-02-28;180.1264954;403.2264709;136.4959106
2024-02-29;179.4612732;409.0812378;138.8299408
2024-03-01;178.3790283;410.9206543;137.14151
2024-03-04;173.8515625;410.3470764;133.2878723
2024-03-05;168.9070282;398.2123108;132.8707123
2024-03-06;167.9141693;397.6584778;131.6590118
2024-03-07;167.7950439;404.6307983;134.3208008
2024-03-08;169.5126953;401.7430115;135.3636475
2024-03-11;171.5183105;400.061676;137.9956512
2024-03-12;171.994873;410.703125;138.6710205
2024-03-13;169.9098663;410.5250854;139.8132324
2024-03-14;171.7665253;420.5335999;143.3589478
2024-03-15;171.3892212;411.8305664;141.2037048
2024-03-18;172.4813995;412.7206116;147.4707947
2024-03-19;174.8245544;416.7655945;146.9146271
2024-03-20;177.3960876;420.5434265;148.6626434
2024-03-21;170.1481323;424.6377869;147.7290497
2024-03-22;171.051651;424.0147705;150.7384491
2024-03-25;169.6318512;418.199585;150.1226654
2024-03-26;168.4999695;417.0028992;150.6689453
2024-03-27;172.0743103;416.7853394;150.9073029
2024-03-28;170.2573547;416.0831909;151.2251282
2024-04-01;168.8177032;419.8907776;155.4363098
2024-04-02;167.6361847;416.7952576;154.8105774
2024-04-03;168.4403992;415.8161011;155.3071899
2024-04-04;167.6163177;413.2744751;150.9073029
2024-04-05;168.3708954;420.8302307;152.8937073
2024-04-08;167.2489624;419.9105225;155.0787506
2024-04-09;168.4602509;421.5819092;157.0651703
2024-04-10;166.5837402;418.5951538;156.5884247
2024-04-11;173.7919617;423.2136841;159.6971283
2024-04-12;175.2911987;417.2501526;158.1080322
2024-04-15;171.4587402;409.0812378;155.2674713
2024-04-16;168.172348;410.0108032;154.9397125
2024-04-17;166.8021698;407.3010254;155.8137207
2024-04-18;165.8490143;399.8144836;156.3897858
2024-04-19;163.8235626;394.7212219;154.6616058
2024-04-22;164.6575775;396.5409241;156.8764496
2024-04-23;165.7100067;403.078125;158.8330536
2024-04-24;167.8149109;404.5516968;160.0050507
2024-04-25;168.6787109;394.6421204;156.8764496
2024-04-26;168.0928955;401.8418884;172.5094604
2024-04-29;172.2629547;397.8167114;166.7588196
2024-04-30;169.1155701;385.039093;163.5209808
2024-05-01;168.0928955;390.5872498;164.4446716
2024-05-02;171.7963104;393.4553223;167.315033
2024-05-03;182.0724945;402.1781311;167.8414154
2024-05-06;180.4144135;408.9823303;168.675705
2024-05-07;181.0994873;404.8285828;171.804306
2024-05-08;181.4370728;406.0153198;169.9966736
2024-05-09;183.2540436;407.7757568;170.4138031
2024-05-10;181.991394;410.1690674;169.1325836
2024-05-13;185.2026978;409.1602783;169.7384338
2024-05-14;186.3460388;411.9690247;170.7614288
2024-05-15;188.622818;419.1718445;172.6981812
2024-05-16;188.7420959;417.1011353;174.2376556
2024-05-17;188.7719421;416.3283691;176.0849915
2024-05-20;189.9351654;421.4110107;177.2470551
2024-05-21;191.2375946;425.0768127;178.3197174
2024-05-22;189.79599;426.5431519;176.7901764
2024-05-23;185.7992249;423.0556641;173.8701477
2024-05-24;188.8812866;426.1864624;175.1315308
2024-05-28;188.8912354;426.3450012;176.8100433
2024-05-29;189.1895142;425.2056274;176.1942596
2024-05-30;190.1837158;410.8395386;172.3803711
2024-05-31;191.1381683;411.2953186;172.7776184
2024-06-03;192.9078674;409.7001648;173.2345123
2024-06-04;193.2260284;412.226593;173.939682
2024-06-05;194.7372131;420.0932617;175.8665009
2024-06-06;193.3552551;420.5985718;177.1377869
2024-06-07;195.7513275;419.9347839;174.7540894
2024-06-10;192.0031281;423.9176025;175.6291199
2024-06-11;205.9519806;428.6831665;177.1802826
2024-06-12;211.8377838;436.9857483;178.5424957
2024-06-13;213.0010071;437.5009766;175.7385101
2024-06-14;211.2611237;438.481842;177.3592529
2024-06-17;215.4169464;444.2282715;177.766922
2024-06-18;213.0506897;442.2170105;175.450119
2024-06-20;208.4673615;441.5829163;176.7030182
2024-06-21;206.2900391;445.6252136;179.2385254
2024-06-24;206.9362793;443.534729;179.7655334
2024-06-25;207.8609009;446.7844238;184.5284271
2024-06-26;212.0167236;447.9832764;184.3195801
2024-06-27;212.8618317;448.6668701;185.8011627
2024-06-28;209.4019318;442.8213806;182.380661
2024-07-01;215.4964752;452.5110168;183.4445648
2024-07-02;218.996109;455.0374451;185.5525665
2024-07-03;220.2687225;456.5137024;186.3281555
2024-07-05;225.0310059;463.2409668;190.8722687
2024-07-08;226.5024719;461.933197;189.4006348
2024-07-09;227.3574829;455.2950439;189.3608704
